Src,Species,Duration,Bitrate ,Sampling Rate,Channels
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/120306_04_GreatTit_call_Fiby_N5.mp3,Parus major,23 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/kjottmeissang110312-027.mp3,Parus major,19 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/kjottmeis_cal110312l-027.mp3,Parus major,22 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/PMAJ08h47m04s03mar2012%20%282%29.mp3,Parus major,63 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/es0353y%20mp3.mp3,Parus major,112 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/PMAJ09h25m39s25feb2012%20%282%29.mp3,Parus major,45 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/es0357%20mp3.mp3,Parus major,80 s,bitrate: 256000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/greatttit-024feb24.mp3,Parus major,11 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Tit-Great-110118-010.mp3,Parus major,23 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Tit-Great-110118-014.mp3,Parus major,44 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Tit-Great-120212-000.mp3,Parus major,15 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/TLPLNAINFU/great_tit-009varsel.mp3,Parus major,5 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/GreatTit-FL%20song%20Ninfield%20ESussex%2010Feb12%20LS110136.mp3,Parus major,32 s,bitrate: 64000 bps, audio sampling rate: 48000 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/GreatTit-FL%20%28seen%29%20StanmerPark%204Feb12%20LS110084.mp3,Parus major,4 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/GreatTit-FL%20%28seen%29%20StanmerPark%204Feb12%20LS110077.mp3,Parus major,86 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/GreatTit-FL%20%28seen%29%20StanmerPark%204Feb12%20LS110071.mp3,Parus major,57 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/GreatTit-FL%20Selsey%20Sussex%201Feb12%20LS110035.mp3,Parus major,25 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/GreatTit-FL%20X%20Westdene%20Brighton%2025Dec11-2.mp3,Parus major,36 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/GreatTit-FL%20X%20Westdene%20Brighton%2025Dec11.mp3,Parus major,50 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/GreatTit-FL%20nrPrestonParkStn%20Brighton%2025Dec11.mp3,Parus major,62 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/CoalTit-FL%20AcresDown%2028Jan12-LS110017%20%282%29.mp3,Parus major,93 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/CoalTit-FL%20AcresDown%2028Jan12-LS110019.mp3,Parus major,9 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/188%20Parus%20major%2C%20Corenc%2C%20Vence%20%28France%29%2C%2008-04-11.mp3,Parus major,51 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/110604_02bc_GreatTit_ArikeFyriss.mp3,Parus major,20 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/100320_GreatTit_Ostervala.mp3,Parus major,55 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/110702_04b_GreatTit_VangeOstfora.mp3,Parus major,35 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/110622_14_GreatTit-begging_Uppsala.mp3,Parus major,59 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/91%20Parus%20major%2C%20youngs%20in%20nest%2C%20Vence%20%28France%29%2028-05-11.mp3,Parus major,42 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/90%20Parus%20major%2C%20Vence%20%28France%29%2028-05-11.mp3,Parus major,36 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/89%20Parus%20major%2C%20Vence%2C%20%28France%29%2024-04--10.mp3,Parus major,18 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/88%20Parus%20major%2C%20Mai%20swamp%2C%20Tullins%20%28France%29%2C%2003-05-06.mp3,Parus major,59 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/1910%20mp3.mp3,Cyanistes caeruleus,21 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/SEIQHUBHAF/Blue%20Tit%20%282%29.mp3,Cyanistes caeruleus,4 s,bitrate: 256000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/1829%20mp3.mp3,Cyanistes caeruleus,96 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/WYRGBDXALK/mesange%20bleue.mp3,Cyanistes caeruleus,4 s,bitrate: 154740 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/SEIQHUBHAF/Blue%20Tit.mp3,Cyanistes caeruleus,19 s,bitrate: 256000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/120306_14_BlueTit_song_Fiby_N5.mp3,Cyanistes caeruleus,99 s,bitrate: 192000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/es0418%20mp3.mp3,Cyanistes caeruleus,28 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/HBPYQXTJEV/2012_02_29_Cyanistes_caeruleus_Collinist_08Uhr.mp3,Cyanistes caeruleus,69 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/EUHNGQTHJS/Tit-Blue-120212-004.mp3,Cyanistes caeruleus,14 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/BlueTit-FL%20song%20Ninfield%20ESussex%2010Feb12%20LS110143.mp3,Cyanistes caeruleus,154 s,bitrate: 64000 bps, audio sampling rate: 48000 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/BlueTit-FL%20calls%20StanmerPark%20Brighton%204Feb12%20LS110075.mp3,Cyanistes caeruleus,18 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/BlueTit-FL%20calls%20StanmerPark%20Brighton%204Feb12%20LS110074.mp3,Cyanistes caeruleus,32 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/BlueTit-FL%20Selsey%20Sussex%201Feb12%20LS110036.mp3,Cyanistes caeruleus,51 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/BlueTit-FL%20Selsey%20Sussex%201Feb12%20LS110034.mp3,Cyanistes caeruleus,114 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/BlueTit-FL%20Selsey%20Sussex%201Feb12%20LS110033.mp3,Cyanistes caeruleus,31 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/BlueTit-FL%20Westdene%20Brighton%2025Dec11-1.mp3,Cyanistes caeruleus,22 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/BlueTit-FL%201%20Westdene%20Brighton%2025Dec11.mp3,Cyanistes caeruleus,19 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/110903_07b_BlueTit_GamlaUppsala_N5.mp3,Cyanistes caeruleus,50 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KCUQSGGVJD/augfeb24blaum.mp3,Cyanistes caeruleus,37 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/UTCLOBFQPH/LS100132Pcae.mp3,Cyanistes caeruleus,11 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/097%20Cyanistes%20caeruleus%2C%20Platieere%20island%2C%20river%20Rhone%20%28France%29%2009-03-03.mp3,Cyanistes caeruleus,55 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/096%20Cyanistes%20caeruleus%2C%20Platieere%20island%2C%20river%20Rhone%20%28France%29%2009-03-03.mp3,Cyanistes caeruleus,24 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/095%20Cyanistes%20caeruleus%2C%20Le%20Grand%20Verger%2C%20Moirans%20%28France%2917-03-03.mp3,Cyanistes caeruleus,24 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/094%20Cyanistes%20caeruleus%2C%20Le%20Grand%20Verger%2C%20Moirans%20%28France%2917-03-03.mp3,Cyanistes caeruleus,12 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/093%20Cyanistes%20caeruleus%2C%20Le%20Grand%20Ratz%20%28France%29%2019-03-03.mp3,Cyanistes caeruleus,30 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/092%20Cyanistes%20caeruleus%2C%20Vence%20%28France%29%2024-04--10.mp3,Cyanistes caeruleus,16 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/XAMHIHFTZG/cinciarella13.mp3,Cyanistes caeruleus,9 s,bitrate: 160000 bps, audio sampling rate: 48000 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/XAMHIHFTZG/cinciarella9.mp3,Cyanistes caeruleus,69 s,bitrate: 160000 bps, audio sampling rate: 48000 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/XAMHIHFTZG/cinciarella11.mp3,Cyanistes caeruleus,24 s,bitrate: 160000 bps, audio sampling rate: 48000 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/OH38YHKJBS/Pimpelmees_Meijendel_25042011_1500.mp3,Cyanistes caeruleus,34 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/OH38YHKJBS/Pimpelmees_Meijendel_2_restaurant_10042011_1400.mp3,Cyanistes caeruleus,31 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/OH38YHKJBS/Pimpelmees_Meijendel_restaurant_10042011_1400.mp3,Cyanistes caeruleus,59 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/FMRUYEMUWE/VR-002-1122.mp3,Cyanistes caeruleus,27 s,bitrate: 160000 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/GRGVLVKPOL/BlueTit-CuckooNest.mp3,Cyanistes caeruleus,12 s,bitrate: 128000 bps, audio sampling rate: 22050 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/GRGVLVKPOL/BlueTit-1.mp3,Cyanistes caeruleus,9 s,bitrate: 128000 bps, audio sampling rate: 22050 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/WOEAFQRMUD/Parus%20caeruleus%20June86-1.mp3,Cyanistes caeruleus,8 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/Blames-varnar-katt-Kalledalen-2010-07-24.mp3,Cyanistes caeruleus,41 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/HBPYQXTJEV/Take388BlueTitViernhHeide22-08-2010-9Uhr40.mp3,Cyanistes caeruleus,5 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/HNYFHZLJOD/XC597139-201022-BT%20clip.mp3,Cyanistes caeruleus,10 s,bitrate: 192000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/LKXIRZNJXF/XC596739-201011_1537_EurasianBlueTit_10h27_fc.mp3,Cyanistes caeruleus,22 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RWHGTWZNPX/XC595821-Cyanistescaeruleus_c_poland_psz_8.00_191020-7990.mp3,Cyanistes caeruleus,63 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YNSNJEQGDT/XC595777-Blue%20tit%2017-10-20.mp3,Cyanistes caeruleus,113 s,bitrate: 88045 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/BQPBFGQYFF/XC595564-3bl%C3%A5mes.mp3,Cyanistes caeruleus,64 s,bitrate: 90560 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/BQPBFGQYFF/XC595201-4bl%C3%A5mes.mp3,Cyanistes caeruleus,158 s,bitrate: 91200 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/BQPBFGQYFF/XC594413-10bl%C3%A5mes.mp3,Cyanistes caeruleus,20 s,bitrate: 89576 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/HRVQAOEHRR/XC593598-Blue%20tit.mp3,Cyanistes caeruleus,138 s,bitrate: 135175 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/XC592589-mes%20ble%20probable.mp3,Cyanistes caeruleus,27 s,bitrate: 84391 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/LHCOINSOBZ/XC591044-Cyanistes%20caeruleus%20Cidade%20da%20cultura%2025.9.20%20mp3.mp3,Cyanistes caeruleus,63 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/QTJCIDJUEK/XC590706-mes%20ble%20song.mp3,Cyanistes caeruleus,20 s,bitrate: 84613 bps, audio sampling rate: 44100 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/XC590189-poleAY31750mp3%20%284%29.mp3,Cyanistes caeruleus,34 s,bitrate: 319822 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/emcit.mp3,Emberiza citrinella,180 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 1
https://www.xeno-canto.org/sounds/uploaded/WMQCDQHXRZ/Yellowhammer.mp3,Emberiza citrinella,25 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/AXTFCLIYDF/es0417%20mp3.mp3,Emberiza citrinella,19 s,bitrate: 320000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/186%20Emberiza%20citrinella%2C%20Le%20Sappey%2C%20Les%20Sagnes%20%28France%29%2013-06-11.mp3,Emberiza citrinella,26 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/185%20Emberiza%20citrinella%2C%20Le%20Sappey%2C%20Les%20Sagnes%20swamp%20%28France%29%2C%2013-06-11.mp3,Emberiza citrinella,48 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/110918_07_Yellowhammer_Bjorn_N5.mp3,Emberiza citrinella,33 s,bitrate: 192000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/110825_05_Yellowhammer-calls_Hoburgen_N4%20-%20Copy.mp3,Emberiza citrinella,40 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KCUQSGGVJD/goldammer.mp3,Emberiza citrinella,15 s,bitrate: 128000 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/BPSDQEOJWG/Gulsparv-song-On-Oasjon-Tibro-2011-03-26-06.37-01.52.mp3,Emberiza citrinella,113 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/100923_01_Yellowhammer_Mindelsee.mp3,Emberiza citrinella,17 s,bitrate: 192000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RKAYEOOLQW/110630_03_Yellowhammer_Nasten.mp3,Emberiza citrinella,52 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/HBPYQXTJEV/Take524_2011_05_14_Goldammer_Kirschgartshausen_9Uhr.mp3,Emberiza citrinella,46 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/YTUXOCTUEM/Yellowhammer-FL%20male%20song%20Musten%20Lancs%20UK%2019Mar2011%20R09_%20%2812%29.mp3,Emberiza citrinella,38 s,bitrate: 192000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/PWDLINYMKL/Yellowhammer.mp3,Emberiza citrinella,33 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/KLADBSYAFL/9%20Bruant%20jaune%20%282%29%2C%20collines%20de%20Tokaj%2C%2012%20mai%202010.mp3,Emberiza citrinella,40 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/HBPYQXTJEV/Take367GoldammerViernheimerH2011_04_17_9Uhr.mp3,Emberiza citrinella,21 s,bitrate: 128000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/EJIITXAJNY/XC597660-Geelgors%20201022%20Kalmthoutse%20heide.mp3,Emberiza citrinella,14 s,bitrate: 170887 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/XC597614-embcit_202010_23_24_yom_0444.mp3,Emberiza citrinella,11 s,bitrate: 255719 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/XDCPMYMSWN/XC597485-EMBCIT2020-10-10-1500-m.mp3,Emberiza citrinella,73 s,bitrate: 152160 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/NCQLGWLDIK/XC597047-Geelgorsman%2022-10-2020.mp3,Emberiza citrinella,12 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/HLDLDQFJEA/XC596864-Bruant_jaune_chant_7%C3%A8me_rencl%C3%B4ture_10h20_07_04_2020_for_XC.mp3,Emberiza citrinella,4 s,bitrate: 184068 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/VCROLXMVLX/XC596773-unknown_siemka1_siemianowka_podlaskie_2020.10.17_0625.mp3,Emberiza citrinella,26 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/MMEJYLOPDO/XC596542-Gulsparv_18.mp3,Emberiza citrinella,18 s,bitrate: 196059 bps, audio sampling rate: 48000 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/ZNHUUXHXZS/XC596470-embcit_202010_18_19_yom_0231.mp3,Emberiza citrinella,10 s,bitrate: 255719 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RWHGTWZNPX/XC596319-E.citrinella-c_poland_psz_8.05_191020-7996.mp3,Emberiza citrinella,13 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
https://www.xeno-canto.org/sounds/uploaded/RWHGTWZNPX/XC596317-E.citrinella-begg_poland_psz_9.25_200921-8626.mp3,Emberiza citrinella,42 s,bitrate: 320000 bps, audio sampling rate: 44100 Hz, number of channels: 2
